run_id,return_value
1,-14.188655466244962
2,-18.545164242517288
3,-18.468593939491885
4,-18.617906030391424
5,-17.016792290387222
6,-19.671300896077792
7,-17.5701586754722
8,-12.489677307726339
9,-17.80706820461366
10,-18.815027182806848
11,-2.037891822848634
12,-18.930562032483177
13,-6.796199940447029
14,-16.69450669294983
15,-19.671300896077792
16,-8.679391923940772
17,-17.916714794382976
18,-8.083570446253445
19,-16.69450669294983
20,-19.887509944813626
21,-10.293993650788721
22,-17.016792290387222
23,-8.083570446253445
24,-12.094397166027727
25,-19.12893609147025
26,-6.1012630952074005
27,-19.887509944813626
28,-7.4563899434246785
29,-19.887509944813626
30,-12.489677307726339
31,-10.779293968249283
32,-8.679391923940772
33,-19.887509944813626
34,-17.69165074169859
35,-15.266623556353185
36,-17.5701586754722
37,-19.451012485816705
38,-19.80319570458721
39,-17.442272289970738
40,-18.75266019242826
41,-11.240329269836817
42,-19.887509944813626
43,-6.1012630952074005
44,-6.1012630952074005
45,-19.59644373026947
46,-9.245422327743734
47,-16.144635303046893
48,-15.266623556353185
49,-17.016792290387222
50,-6.1012630952074005
51,-19.887509944813626
52,-19.213864822551898
53,-12.489677307726339
54,-11.678312806344977
55,-8.679391923940772
56,-18.75266019242826
57,-17.80706820461366
58,-19.887509944813626
59,-9.245422327743734
60,-14.188655466244962
61,-15.72812775960875
62,-12.094397166027727
63,-15.503292378535525
64,-19.32598735223543
65,-19.887509944813626
66,-19.74565889921166
67,-12.094397166027727
68,-19.552846238525735
69,-19.887509944813626
70,-14.188655466244962
71,-19.451012485816705
72,-8.679391923940772
73,-6.1012630952074005
74,-19.887509944813626
75,-18.387993620517772
76,-19.575203926599446
77,-19.32598735223543
78,-10.293993650788721
79,-19.887509944813626
80,-18.119835101930633
81,-19.213864822551898
82,-5.369750626534105
83,-19.887509944813626
84,-19.79283758377601
85,-6.1012630952074005
86,-10.293993650788721
87,-22.140606752495717
88,-19.887509944813626
89,-19.887509944813626
90,-13.56083708171187
91,-20.04397138635586
92,-19.887509944813626
93,-19.42211840612285
94,-19.887509944813626
95,-18.303151179492396
96,-7.4563899434246785
97,-8.679391923940772
98,-17.30765504207446
99,-8.679391923940772
100,-19.213864822551898
