run_id,return_value
1,-14.755261558286076
2,-19.887509944813626
3,-19.887509944813626
4,-19.887509944813626
5,-19.12893609147025
6,-14.188655466244962
7,-19.687735851273903
8,-17.30765504207446
9,-11.678312806344977
10,-11.240329269836817
11,-17.69165074169859
12,-17.80706820461366
13,-19.887509944813626
14,-17.016792290387222
15,-19.42211840612285
16,-14.755261558286076
17,-6.1012630952074005
18,-19.50453876844957
19,-11.240329269836817
20,-9.245422327743734
21,-18.119835101930633
22,-14.479222692932712
23,-19.79283758377601
24,-16.69450669294983
25,-21.54374313693381
26,-7.4563899434246785
27,-12.094397166027727
28,-18.2138433468341
29,-19.213864822551898
30,-12.865193442340022
31,-18.387993620517772
32,-13.56083708171187
33,-18.119835101930633
34,-6.1012630952074005
35,-16.337403537894552
36,-8.679391923940772
37,-19.635790466568196
38,-19.887509944813626
39,-19.887509944813626
40,-17.016792290387222
41,-14.479222692932712
42,-19.32598735223543
43,-5.369750626534105
44,-16.69450669294983
45,-5.369750626534105
46,-19.635790466568196
47,-18.874275823666505
48,-19.887509944813626
49,-15.94172137162831
50,-14.479222692932712
51,-4.599737501614847
52,-2.037891822848634
53,-8.083570446253445
54,-18.545164242517288
55,-17.5701586754722
56,-17.30765504207446
57,-6.1012630952074005
58,-18.984033930859017
59,-22.546769284544357
60,-17.016792290387222
61,-19.887509944813626
62,-12.094397166027727
63,-19.887509944813626
64,-8.679391923940772
65,-10.293993650788721
66,-8.083570446253445
67,-9.245422327743734
68,-19.887509944813626
69,-17.80706820461366
70,-15.72812775960875
71,-16.69450669294983
72,-17.69165074169859
73,-6.796199940447029
74,-13.221933770223021
75,-19.616621543755997
76,-19.781934298711594
77,-19.391703585392474
78,-19.887509944813626
79,-7.4563899434246785
80,-13.56083708171187
81,-18.874275823666505
82,-20.20834133506867
83,-19.47846186152587
84,-2.037891822848634
85,-19.718181605774696
86,-18.68701072887185
87,-14.755261558286076
88,-19.80319570458721
89,-7.4563899434246785
90,-12.865193442340022
91,-19.887509944813626
92,-6.796199940447029
93,-19.2531715814243
94,-17.69165074169859
95,-17.5701586754722
96,-16.337403537894552
97,-18.303151179492396
98,-10.293993650788721
99,-11.240329269836817
100,-5.369750626534105
