run_id,return_value
1,-7.4563899434246785
2,-19.887509944813626
3,-19.887509944813626
4,-13.221933770223021
5,-14.479222692932712
6,-19.47846186152587
7,-6.796199940447029
8,-19.887509944813626
9,-7.4563899434246785
10,-17.80706820461366
11,-11.240329269836817
12,-19.2531715814243
13,-19.35968798462366
14,-9.245422327743734
15,-17.80706820461366
16,-7.4563899434246785
17,-19.12893609147025
18,-13.56083708171187
19,-19.887509944813626
20,-18.75266019242826
21,-17.5701586754722
22,-19.887509944813626
23,-17.5701586754722
24,-19.687735851273903
25,-4.599737501614847
26,-13.882795227626277
27,-19.887509944813626
28,-19.887509944813626
29,-19.12893609147025
30,-4.599737501614847
31,-7.4563899434246785
32,-9.245422327743734
33,-17.916714794382976
34,-9.783151211356547
35,-13.56083708171187
36,-17.016792290387222
37,-17.016792290387222
38,-7.4563899434246785
39,-19.47846186152587
40,-18.68701072887185
41,-19.671300896077792
42,-18.020879054663826
43,8.5
44,-17.916714794382976
45,-15.017498480371772
46,-11.678312806344977
47,-17.442272289970738
48,-16.520533360999824
49,-16.85978135830234
50,-19.687735851273903
51,-15.017498480371772
52,-10.293993650788721
53,-18.874275823666505
54,-19.887509944813626
55,-16.337403537894552
56,-19.887509944813626
57,-18.984033930859017
58,-19.290513002353087
59,-12.094397166027727
60,-6.796199940447029
61,-19.42211840612285
62,-19.887509944813626
63,-14.479222692932712
64,-18.930562032483177
65,-17.80706820461366
66,-6.1012630952074005
67,-11.240329269836817
68,-18.545164242517288
69,-19.73227252548596
70,-12.865193442340022
71,-19.213864822551898
72,-22.140606752495717
73,-19.52931183002709
74,-18.617906030391424
75,-16.69450669294983
76,-19.887509944813626
77,-6.796199940447029
78,-19.687735851273903
79,-16.144635303046893
80,-19.887509944813626
81,-11.240329269836817
82,-23.28369236763139
83,-19.887509944813626
84,-13.56083708171187
85,-12.094397166027727
86,-17.442272289970738
87,-15.503292378535525
88,-20.346931762966054
89,-19.52931183002709
90,-20.829575537322924
91,-15.503292378535525
92,-20.42335694076339
93,-19.758375954251076
94,-20.879157936928674
95,-11.678312806344977
96,-21.044119353899553
97,-18.930562032483177
98,-19.77045715653852
99,-16.85978135830234
100,-16.144635303046893
