run_id,return_value
1,-9.245422327743734
2,-19.2531715814243
3,-16.144635303046893
4,-18.468593939491885
5,-8.679391923940772
6,-8.083570446253445
7,-19.172489286896734
8,-10.779293968249283
9,-19.391703585392474
10,-18.303151179492396
11,-19.616621543755997
12,-19.887509944813626
13,-19.2531715814243
14,-18.387993620517772
15,-8.083570446253445
16,-19.887509944813626
17,-19.77045715653852
18,-6.1012630952074005
19,-19.887509944813626
20,-18.815027182806848
21,-8.083570446253445
22,-23.30526155828607
23,-19.213864822551898
24,-19.654000943239783
25,-17.5701586754722
26,-18.468593939491885
27,-17.916714794382976
28,-9.783151211356547
29,-15.017498480371772
30,-18.874275823666505
31,-19.887509944813626
32,-19.887509944813626
33,-18.387993620517772
34,-19.887509944813626
35,-19.552846238525735
36,-19.887509944813626
37,-19.635790466568196
38,-18.2138433468341
39,-14.188655466244962
40,-19.718181605774696
41,-19.758375954251076
42,-19.887509944813626
43,-19.887509944813626
44,-19.887509944813626
45,-19.887509944813626
46,-17.69165074169859
47,-19.80319570458721
48,-10.779293968249283
49,-16.69450669294983
50,-18.468593939491885
51,-15.503292378535525
52,-19.083090622600263
53,-9.783151211356547
54,-6.796199940447029
55,-16.69450669294983
56,-19.887509944813626
57,-19.887509944813626
58,-19.887509944813626
59,-15.72812775960875
60,-19.887509944813626
61,-7.4563899434246785
62,-19.887509944813626
63,-16.144635303046893
64,-15.017498480371772
65,-19.887509944813626
66,-19.887509944813626
67,-15.72812775960875
68,-10.779293968249283
69,-19.887509944813626
70,-17.80706820461366
71,-19.77045715653852
72,-17.30765504207446
73,-17.165952675867857
74,-28.43750994481362
75,-8.083570446253445
76,-16.85978135830234
77,-19.887509944813626
78,-18.2138433468341
79,-5.369750626534105
80,-14.479222692932712
81,-8.083570446253445
82,-19.758375954251076
83,-14.188655466244962
84,-28.43750994481362
85,-10.293993650788721
86,-19.35968798462366
87,-18.468593939491885
88,-19.887509944813626
89,-19.671300896077792
90,-13.221933770223021
91,-19.391703585392474
92,-19.671300896077792
93,-19.887509944813626
94,-13.882795227626277
95,-7.4563899434246785
96,-19.887509944813626
97,-14.188655466244962
98,-12.489677307726339
99,-15.503292378535525
100,-19.79283758377601
