run_id,return_value
1,-12.489677307726339
2,-18.468593939491885
3,-7.4563899434246785
4,-7.4563899434246785
5,-6.1012630952074005
6,-16.520533360999824
7,-19.887509944813626
8,-19.451012485816705
9,-18.020879054663826
10,-19.887509944813626
11,-18.303151179492396
12,-6.796199940447029
13,-13.221933770223021
14,-5.369750626534105
15,-18.68701072887185
16,-19.758375954251076
17,-15.266623556353185
18,-19.887509944813626
19,-19.687735851273903
20,-15.94172137162831
21,-19.887509944813626
22,-15.266623556353185
23,-19.887509944813626
24,-18.2138433468341
25,-18.874275823666505
26,-5.369750626534105
27,-18.020879054663826
28,-18.468593939491885
29,-17.5701586754722
30,-3.789197370120892
31,-17.30765504207446
32,-18.545164242517288
33,-19.654000943239783
34,-13.56083708171187
35,-19.73227252548596
36,-14.188655466244962
37,-19.2531715814243
38,-19.887509944813626
39,-19.034832234316063
40,-17.442272289970738
41,-14.479222692932712
42,-19.887509944813626
43,-10.779293968249283
44,-14.479222692932712
45,-6.796199940447029
46,-11.240329269836817
47,-19.77045715653852
48,-16.520533360999824
49,-1.0925177082617212
50,-6.1012630952074005
51,-19.74565889921166
52,-19.887509944813626
53,-17.69165074169859
54,-6.1012630952074005
55,-19.887509944813626
56,-14.479222692932712
57,-13.56083708171187
58,-19.887509944813626
59,-6.796199940447029
60,-14.188655466244962
61,-12.865193442340022
62,-19.73227252548596
63,-19.47846186152587
64,-14.188655466244962
65,-19.172489286896734
66,-19.616621543755997
67,-7.4563899434246785
68,-9.783151211356547
69,-19.887509944813626
70,-18.930562032483177
71,-14.755261558286076
72,-19.718181605774696
73,-19.172489286896734
74,-14.479222692932712
75,-5.369750626534105
76,-6.796199940447029
77,-17.016792290387222
78,-18.468593939491885
79,-19.887509944813626
80,-16.144635303046893
81,-19.887509944813626
82,-19.552846238525735
83,-14.188655466244962
84,-2.935997231706202
85,-15.503292378535525
86,-13.56083708171187
87,-16.144635303046893
88,-15.503292378535525
89,-6.1012630952074005
90,-14.479222692932712
91,-19.034832234316063
92,-6.1012630952074005
93,-9.245422327743734
94,-15.94172137162831
95,-17.442272289970738
96,-14.479222692932712
97,-13.221933770223021
98,-22.140606752495717
99,-6.1012630952074005
100,-18.68701072887185
