run_id,return_value
1,-15.266623556353181
2,-13.882795227626273
3,-19.08309062260026
4,-19.887509944813623
5,-19.887509944813623
6,-19.39170358539247
7,-17.916714794382973
8,-19.887509944813623
9,-17.307655042074458
10,-16.14463530304689
11,-15.017498480371769
12,-19.128936091470248
13,-14.755261558286072
14,-16.859781358302335
15,-19.17248928689673
16,-17.165952675867853
17,-24.27658475685339
18,-19.65400094323978
19,-19.887509944813623
20,-8.083570446253443
21,-12.489677307726335
22,-19.08309062260026
23,-12.489677307726335
24,-4.599737501614848
25,-19.803195704587207
26,-15.941721371628306
27,-12.865193442340018
28,-19.887509944813623
29,-19.325987352235426
30,-18.815027182806844
31,-18.020879054663823
32,-18.8742758236665
33,-8.67939192394077
34,-1.0925177082617212
35,-19.253171581424297
36,-10.779293968249279
37,-14.47922269293271
38,-19.82238412338995
39,-17.307655042074458
40,-7.456389943424677
41,-11.678312806344973
42,-14.755261558286072
43,-19.887509944813623
44,-8.083570446253443
45,-19.39170358539247
46,2.0527567187499978
47,-15.941721371628306
48,-14.755261558286072
49,-19.887509944813623
50,-17.165952675867853
51,-20.87915793692867
52,-17.691650741698588
53,-17.01679229038722
54,-19.78193429871159
55,-19.770457156538516
56,-19.596443730269467
57,-19.887509944813623
58,-19.213864822551894
59,-10.779293968249279
60,-6.101263095207399
61,-10.293993650788718
62,-19.67130089607779
63,-8.083570446253443
64,-12.489677307726335
65,-18.38799362051777
66,-19.887509944813623
67,-21.819258820300057
68,-19.65400094323978
69,-14.47922269293271
70,-20.87915793692867
71,-19.290513002353084
72,-15.266623556353181
73,-21.382260400702087
74,-19.887509944813623
75,-19.770457156538516
76,-19.08309062260026
77,-14.755261558286072
78,-15.017498480371769
79,-17.691650741698588
80,-19.253171581424297
81,-18.815027182806844
82,-19.596443730269467
83,-15.728127759608746
84,-14.188655466244958
85,-19.887509944813623
86,-13.560837081711867
87,-19.887509944813623
88,-17.807068204613657
89,-3.789197370120892
90,-19.770457156538516
91,-9.245422327743732
92,-19.887509944813623
93,-15.266623556353181
94,-13.882795227626273
95,-6.101263095207399
96,-15.266623556353181
97,-16.694506692949826
98,-3.789197370120892
99,-17.442272289970738
100,-18.11983510193063
