run_id,return_value
1,-12.489677307726339
2,-18.020879054663826
3,-19.887509944813626
4,-8.679391923940772
5,-20.302138135696193
6,-18.49299685803006
7,-19.887509944813626
8,-19.887509944813626
9,-19.42211840612285
10,-19.35968798462366
11,-8.679391923940772
12,-19.887509944813626
13,-16.144635303046893
14,-15.72812775960875
15,-17.5701586754722
16,-19.887509944813626
17,-17.916714794382976
18,-19.887509944813626
19,-19.2531715814243
20,-23.7968399446159
21,-17.30765504207446
22,-19.654000943239783
23,-19.35968798462366
24,-19.887509944813626
25,-19.887509944813626
26,-8.679391923940772
27,-16.85978135830234
28,-19.963812275050124
29,-19.451012485816705
30,-19.887509944813626
31,-19.887509944813626
32,-19.887509944813626
33,-19.80319570458721
34,-19.887509944813626
35,-9.245422327743734
36,-15.266623556353185
37,-18.020879054663826
38,-19.034832234316063
39,-19.887509944813626
40,-19.575203926599446
41,-19.887509944813626
42,-18.387993620517772
43,-17.30765504207446
44,-19.887509944813626
45,-19.77045715653852
46,-19.635790466568196
47,-17.916714794382976
48,-19.887509944813626
49,-19.887509944813626
50,-18.468593939491885
51,-20.580014722304043
52,-19.887509944813626
53,-19.654000943239783
54,-19.718181605774696
55,-15.94172137162831
56,-16.144635303046893
57,-10.293993650788721
58,-16.337403537894552
59,-19.887509944813626
60,-17.80706820461366
61,-19.887509944813626
62,-19.887509944813626
63,-18.75266019242826
64,-4.599737501614847
65,-19.391703585392474
66,-19.887509944813626
67,-20.04192493758707
68,-8.083570446253445
69,-17.5701586754722
70,-19.887509944813626
71,-16.144635303046893
72,-19.79283758377601
73,-12.094397166027727
74,-18.303151179492396
75,-19.813035919357848
76,-19.12893609147025
77,-17.80706820461366
78,-19.575203926599446
79,-10.779293968249283
80,-13.221933770223021
81,-8.679391923940772
82,-19.92320861136553
83,-19.887509944813626
84,-16.520533360999824
85,-7.4563899434246785
86,-19.887509944813626
87,-19.887509944813626
88,-16.144635303046893
89,-19.887509944813626
90,-19.887509944813626
91,-19.887509944813626
92,-16.520533360999824
93,-19.887509944813626
94,-20.16435393787696
95,-19.887509944813626
96,-19.887509944813626
97,-19.59644373026947
98,-9.783151211356547
99,-19.887509944813626
100,-17.916714794382976
